arm circles,mobility,30
wrist circles,mobility,30
Jumping jacks,mobility,60
hip circle,mobility,30
Torso twists,mobility,30
Face pull,regular,60
leg swings,mobility,60
Pull up,regular,60
leg kicks forward,mobility,60
Chin up,regular,60
leg kicks sideways,mobility,60
Pull up,regular,60
leg kicks backwards,mobility,60
Chin up,regular,999
90 90,mobility,60
pass through,mobility,60
Pike push up,regular,60
twist R,mobility,60
Fingertips push up,regular,60
twist L,mobility,60
Handstand,regular,999
shoulder circle,mobility,30
infinity hip,mobility,30
Handstand,regular,999
neck circle,mobility,30
torso circle,mobility,30
