arm circles,mobility,30
wrist circles,mobility,30
Jumping jacks,mobility,60
hip circle,mobility,30
Torso twists,mobility,30
Squat,regular,60
leg swings,mobility,60
Squat,closed,60
leg kicks forward,mobility,60
Squat,archer,60
leg kicks sideways,mobility,60
Squat,pistol,60
leg kicks backwards,,60
Squat,pistol,999
90 90,mobility,60
pass through,mobility,60
Bridge push up,regular,60
twist R,mobility,60
Shoulder taps,regular,60
twist L,mobility,60
Shoulder taps,regular,60
shoulder circle,mobility,30
infinity hip,mobility,30
Wall bridging,regular,60
neck circle,mobility,30
torso circle,mobility,30
